Circle Number,R,G,B,X,Y,Z,L,a*,b*,H,S,V,Delta E,Grayscale,Column Index,Experiment
2,90.19226287578653,104.99930086226986,54.05383360522023,0.09953811087724458,0.12553150732623244,0.05394554343209766,42.08209022534779,-14.675138697760243,26.685328810601238,77.43869135023124,48.51981569275023,41.17619641657642,19.751506188121134,94.7551940107201,2,1
3,80.4194826380797,102.87625262176648,59.87298997902587,0.08993855690068298,0.11724421424695597,0.06045705499180184,40.77473677333805,-16.873866710443192,21.587284952637077,91.33265050642996,41.80096139470191,40.34362847912411,22.902661134649776,91.25126450710789,4,1
4,58.16453041249126,101.02819855511535,69.20694476811931,0.07491092761612785,0.106491020602632,0.073235568256141,38.98307006133913,-22.621919287408282,13.462176112169121,135.4570266626071,42.42742992120171,39.61890139416288,28.494080429018755,84.57852239571196,6,1
5,50.367979491959915,103.48007457469122,76.02144022372407,0.07536404073537475,0.11005279509113332,0.08567074693196196,39.58936096818758,-24.803883145583626,10.142410494825283,148.98036015164277,51.325914965779575,40.58042140183969,29.921831774188927,84.46423703099511,8,1
7,79.05183905208591,99.97877067390768,56.247840039496424,0.08503674596265921,0.11062576759187485,0.05459742209663907,39.68566643815889,-16.396476965012035,22.25886561304219,88.71230680650733,43.740216387581654,39.207361048591245,20.175568066301473,88.72838684275487,2,2
8,67.51176881845724,97.86413423444418,59.54253087858308,0.0750828132933504,0.10242569183741695,0.05792383144195061,38.274307546413326,-19.40307082129411,18.357131159554598,107.52259210158233,39.15796492314286,38.37809185664477,23.41251189299727,84.41336301561408,4,2
9,45.2557393236238,96.87830165391262,74.10046901999506,0.06595787551342669,0.0958584130598359,0.07997669455808024,37.088615667552034,-23.361344618600093,7.77316614701885,153.52572409538882,53.2859902052215,37.99149084467162,28.98975847903269,78.84195702295729,6,2
10,25.109764623630856,94.87485434630622,75.83640177114891,0.05782716495043389,0.08888835830925658,0.08217253017564147,35.7693784684445,-26.490605233679382,4.7389695539888805,163.62637876550798,73.5338042976311,37.20582523384558,31.385503281380643,71.84219794919599,8,2
12,78.27129103924956,97.22463589237225,49.7316711922982,0.08029539486176065,0.10450032805138064,0.045807658312049616,38.638303621840976,-16.117950317972056,24.644544095554476,83.94461365739056,48.84869381526797,38.12730819308715,18.292569206516788,86.13556067637619,2,3
13,64.4621300396178,93.80913539967374,54.06991377301328,0.06797577614331939,0.0934380277097263,0.049433062551107354,36.63797944508646,-19.344602838053447,19.407026621106727,104.3093812492303,42.36178220527408,36.78789623516617,22.307481049183043,80.49766331857376,4,3
14,47.78140293637847,93.18713586576555,62.30109531577721,0.06016824146812495,0.08835353213126952,0.05988262004090786,35.66534033833472,-23.42342040125997,13.020406558295194,139.18659795930935,48.72532298319936,36.543974849319824,26.38177905088482,76.0850349568865,6,3
15,21.1987163663293,98.1328067143915,76.6050357936312,0.06018546249587664,0.09451393899944138,0.08453963848611484,36.839245831271654,-28.4643481661343,5.779675560665465,163.21074247577488,78.39793125654029,38.483453613486866,29.958107913645215,72.67322794371759,8,3
17,75.3174085294803,95.71475180610581,48.9184339314845,0.07636021607465157,0.10043418989304337,0.04432391724624857,37.92024408913559,-16.667108070894553,24.165793956541847,86.15249772164758,48.891437308868504,37.535196786708156,19.495187776751873,84.273634187835,2,4
18,58.806220686250306,92.25746729202666,53.150826956307085,0.06287500063842193,0.08881018721937958,0.047686043992359706,35.75419816922168,-20.861966143408488,18.73387316625553,111.32312004090367,42.38859084645538,36.17939893804967,23.99080096099403,77.79150693655886,4,4
19,46.59356793288278,96.71568398974598,64.54462829177348,0.06342648518740825,0.09467563507320632,0.06424322824558552,36.86936142747574,-25.0792024583531,13.29323079018253,141.48878990486995,51.824186098065816,37.92771921166509,26.97341555578574,78.05701158238172,6,4
20,11.598675131106818,88.91774772288159,67.91112337841568,0.04751703654472599,0.07622051393408112,0.06674280014654548,33.183029944736504,-27.8025949802867,5.940505611950686,163.69875092368818,86.95572545623298,34.86970498936533,31.40903420303079,63.4034299751587,8,4
